condition,longest_persistence_mean,longest_persistence_sem,longest_persistence_n,peak_betti_mean,peak_betti_sem,peak_betti_n,total_persistence_mean,total_persistence_sem,total_persistence_n
feature_shuffle,1.2360155582427979,0.06571901682985914,5,118.2,2.2226110770892866,5,153.695055103302,6.934207677496415,5
flipped,0.8715362071990966,0.11814512728880824,5,86.2,15.799999999999999,5,81.75354264080525,13.512060817568319,5
gaussian_matched_cov,1.113156795501709,0.0514945332072271,5,143.4,8.874683092933516,5,161.0817440032959,9.823299732533904,5
neutral,0.9110563278198243,0.1058237099594247,5,69.6,14.009282636880446,5,65.4572997868061,14.302684321001006,5
shuffled,0.9763463497161865,0.11749525163026014,5,95.0,16.887865466067637,5,84.13218479752541,14.62734385074515,5
true,0.8359966039657593,0.06515533877265113,5,90.6,15.670354175959138,5,82.58480477035046,13.583012207725472,5
