condition,longest_persistence_mean,longest_persistence_sem,longest_persistence_n,peak_betti_mean,peak_betti_sem,peak_betti_n,total_persistence_mean,total_persistence_sem,total_persistence_n
flipped,0.5629546523094178,0.09102576485384042,5,3.8,0.6633249580710799,5,1.2203687079250813,0.10863488235995412,5
independent_gaussian_units,0.010357666015625,0.00020058676407704154,5,100.2,4.091454509095756,5,0.6224028110504151,0.014974891205729828,5
neutral,0.5858518362045289,0.09494449677972207,5,4.2,0.7348469228349535,5,1.2110018957406283,0.10582677369383423,5
shuffled,0.5679575383663178,0.09447236447868994,5,3.8,0.6633249580710799,5,1.238506019860506,0.10612656377299094,5
true,0.5705605804920196,0.09550703728928515,5,3.8,0.6633249580710799,5,1.213451413065195,0.09546397508342616,5
unit_activity_shuffle,0.010818421840667725,0.000316039047788392,5,101.6,3.6000000000000005,5,0.6133919596672058,0.026955607651767775,5
