homology_dim,num_features,longest_persistence,total_persistence,peak_betti,seed,analysis,condition,unit_group,attention_condition,n_units,n_samples
H2,1,0.0047768354415893555,0.0047768354415893555,0.0,3,preferred_stream_rouse_like,right_pref_attend_preferred,right_pref,attend_preferred,35,8142
H0,34,0.3743213415145874,3.9906540010124445,35.0,3,preferred_stream_rouse_like,right_pref_attend_away,right_pref,attend_away,35,7541
H1,3,0.6666112542152405,0.7531508803367615,3.0,3,preferred_stream_rouse_like,right_pref_attend_away,right_pref,attend_away,35,7541
H2,0,0.0,0.0,0.0,3,preferred_stream_rouse_like,right_pref_attend_away,right_pref,attend_away,35,7541
H0,40,0.6549192070960999,7.467506157234311,41.0,4,preferred_stream_rouse_like,left_pref_attend_preferred,left_pref,attend_preferred,41,7658
H1,9,0.49203264713287354,0.7573644816875458,2.0,4,preferred_stream_rouse_like,left_pref_attend_preferred,left_pref,attend_preferred,41,7658
H2,1,0.18656331300735474,0.18656331300735474,1.0,4,preferred_stream_rouse_like,left_pref_attend_preferred,left_pref,attend_preferred,41,7658
H0,40,0.6708753705024719,7.486804494168609,41.0,4,preferred_stream_rouse_like,left_pref_attend_away,left_pref,attend_away,41,7741
H1,9,0.49473199248313904,0.7135229706764221,2.0,4,preferred_stream_rouse_like,left_pref_attend_away,left_pref,attend_away,41,7741
H2,2,0.23348146677017212,0.23518794775009155,2.0,4,preferred_stream_rouse_like,left_pref_attend_away,left_pref,attend_away,41,7741
H0,22,0.5591842532157898,6.669425956904888,23.0,4,preferred_stream_rouse_like,right_pref_attend_preferred,right_pref,attend_preferred,23,7741
H1,7,0.5156801342964172,1.0002882182598114,3.0,4,preferred_stream_rouse_like,right_pref_attend_preferred,right_pref,attend_preferred,23,7741
H2,3,0.15387535095214844,0.2438359260559082,3.0,4,preferred_stream_rouse_like,right_pref_attend_preferred,right_pref,attend_preferred,23,7741
H0,22,0.530170202255249,6.4483791925013065,23.0,4,preferred_stream_rouse_like,right_pref_attend_away,right_pref,attend_away,23,7658
H1,6,0.47959834337234497,0.8677223026752472,4.0,4,preferred_stream_rouse_like,right_pref_attend_away,right_pref,attend_away,23,7658
H2,2,0.12357711791992188,0.19468927383422852,2.0,4,preferred_stream_rouse_like,right_pref_attend_away,right_pref,attend_away,23,7658
