homology_dim,num_features,longest_persistence,total_persistence,peak_betti,seed,analysis,condition
H1,10,0.6501943469047546,1.1052047051489353,3,3,rouse_like_unit_correlation,flipped
H2,3,0.047657132148742676,0.07279467582702637,1,3,rouse_like_unit_correlation,flipped
H0,63,0.6815793514251709,8.489725859370083,64,3,rouse_like_unit_correlation,shuffled
H1,11,0.6725851893424988,1.178781934082508,3,3,rouse_like_unit_correlation,shuffled
H2,1,0.047394752502441406,0.047394752502441406,1,3,rouse_like_unit_correlation,shuffled
H0,63,0.9872449636459351,61.91353386640549,64,3,rouse_like_unit_correlation,unit_activity_shuffle
H1,168,0.01022869348526001,0.6301710605621338,110,3,rouse_like_unit_correlation,unit_activity_shuffle
H2,306,0.005525171756744385,0.5748770833015442,158,3,rouse_like_unit_correlation,unit_activity_shuffle
H0,63,0.9875628352165222,61.867239236831665,64,3,rouse_like_unit_correlation,independent_gaussian_units
H1,162,0.010065078735351562,0.6311290860176086,103,3,rouse_like_unit_correlation,independent_gaussian_units
H2,309,0.005602121353149414,0.5714612603187561,151,3,rouse_like_unit_correlation,independent_gaussian_units
H0,63,0.5172961354255676,11.638235127553344,64,4,rouse_like_unit_correlation,true
H1,15,0.48506712913513184,1.3955411463975906,6,4,rouse_like_unit_correlation,true
H2,7,0.16881924867630005,0.27630388736724854,3,4,rouse_like_unit_correlation,true
H0,63,0.4999762177467346,11.008560731075704,64,4,rouse_like_unit_correlation,neutral
H1,16,0.4128190279006958,1.1943472847342491,6,4,rouse_like_unit_correlation,neutral
H2,4,0.15083980560302734,0.26617375016212463,3,4,rouse_like_unit_correlation,neutral
H0,63,0.5194132924079895,11.602897403761744,64,4,rouse_like_unit_correlation,flipped
H1,16,0.4859776496887207,1.4134063869714737,6,4,rouse_like_unit_correlation,flipped
H2,6,0.16831111907958984,0.27524232864379883,3,4,rouse_like_unit_correlation,flipped
H0,63,0.518599271774292,11.781094517558813,64,4,rouse_like_unit_correlation,shuffled
H1,16,0.48164528608322144,1.397708110511303,6,4,rouse_like_unit_correlation,shuffled
H2,7,0.1645512580871582,0.2697295546531677,3,4,rouse_like_unit_correlation,shuffled
H0,63,0.9874256253242493,61.89009416103363,64,4,rouse_like_unit_correlation,unit_activity_shuffle
H1,170,0.010671675205230713,0.6704815626144409,98,4,rouse_like_unit_correlation,unit_activity_shuffle
H2,303,0.006004452705383301,0.6390760540962219,84,4,rouse_like_unit_correlation,unit_activity_shuffle
H0,63,0.9875738620758057,61.89746117591858,64,4,rouse_like_unit_correlation,independent_gaussian_units
H1,162,0.010391294956207275,0.6662729382514954,102,4,rouse_like_unit_correlation,independent_gaussian_units
H2,301,0.0061661601066589355,0.5560268759727478,112,4,rouse_like_unit_correlation,independent_gaussian_units
