cue_decoder_accuracy,cue_decoder_shuffled_label_accuracy,seed
1.0,0.5024641097064495,0
1.0,0.4950980392156863,1
0.9997864616698697,0.5152679906043135,2
1.0,0.5070332480818415,3
1.0,0.5032915693353154,4
