condition,longest_persistence_mean,longest_persistence_sem,longest_persistence_n,peak_betti_mean,peak_betti_sem,peak_betti_n,total_persistence_mean,total_persistence_sem,total_persistence_n
delta_feature_shuffle,0.2564342856407166,0.03307984582207908,5,91.0,8.786353054595518,5,23.951102995872496,0.957709260562621,5
delta_gaussian_matched_cov,0.28543022871017454,0.012006511734755778,5,135.8,6.1106464469808754,5,33.32977279424667,1.858880396796658,5
delta_random_sign_flip,0.19476525783538817,0.027149790775177086,5,18.4,3.722902093797257,5,3.227841421216726,0.5391891988096964,5
delta_rowperm_true_minus_neutral,3.4987538337707518,0.5691550201950024,5,68.2,5.704384278780664,5,255.82929282188417,26.30370409880814,5
delta_true_minus_flipped,0.16124895811080933,0.015205572753739193,5,28.4,5.418486873657627,5,5.254817178845405,0.5611125925815255,5
delta_true_minus_neutral,0.10353176891803742,0.025163817649000827,5,26.2,4.465422712353221,5,3.1900551699101927,0.3972370443780099,5
delta_true_minus_shuffled,0.14578852653503419,0.03127945965016857,5,14.0,2.449489742783178,5,2.298377972841263,0.315021266924073,5
