unit,left_sensitivity,right_sensitivity,preference_score_left_minus_right,preferred_stream,preferred_stream_name,seed
55,0.003837689,0.00027950664,0.0035581824,0,left,1
56,0.07335058,0.010694963,0.06265561,0,left,1
57,0.18289559,0.013061059,0.16983452,0,left,1
58,0.5053255,0.017499069,0.48782644,0,left,1
59,0.17375618,0.020566678,0.15318951,0,left,1
60,0.10557178,0.015012385,0.09055939,0,left,1
61,1.1790898,0.021325916,1.1577638,0,left,1
62,0.08013606,0.023491248,0.056644812,0,left,1
63,1.7817603,0.032298602,1.7494618,0,left,1
0,0.22517192,0.8445842,-0.6194123,1,right,2
1,0.059312195,0.047435887,0.011876307,0,left,2
2,0.05019997,0.345993,-0.29579306,1,right,2
3,0.020000767,0.09883805,-0.07883729,1,right,2
4,0.08662753,0.4330335,-0.34640598,1,right,2
5,0.30879852,0.34268075,-0.03388223,1,right,2
6,0.589456,0.5630399,0.026416123,0,left,2
7,0.21776725,0.37916133,-0.16139407,1,right,2
8,0.15177257,0.29825312,-0.14648055,1,right,2
9,0.090785086,0.17062075,-0.07983567,1,right,2
10,0.052835733,0.31333062,-0.2604949,1,right,2
11,0.16287653,1.2104521,-1.0475756,1,right,2
12,0.032801837,0.27226645,-0.23946461,1,right,2
13,0.05891924,0.16437946,-0.10546023,1,right,2
14,0.09399195,0.5546294,-0.46063745,1,right,2
15,0.016761953,0.028863555,-0.012101602,1,right,2
16,0.123041406,1.1828845,-1.0598431,1,right,2
17,0.04164314,0.12518258,-0.08353944,1,right,2
18,0.06426891,0.1771947,-0.11292579,1,right,2
19,0.074051075,0.16926306,-0.09521199,1,right,2
20,0.049666584,0.053176567,-0.0035099834,1,right,2
21,0.1494865,1.0596762,-0.9101897,1,right,2
22,0.046487723,0.29820487,-0.25171715,1,right,2
23,0.1163125,0.30814406,-0.19183156,1,right,2
24,0.28131676,0.35934693,-0.07803017,1,right,2
25,0.04402638,0.26551074,-0.22148436,1,right,2
26,0.024210481,0.054982044,-0.030771563,1,right,2
27,0.06461611,0.12730451,-0.0626884,1,right,2
28,0.067484595,0.56932443,-0.5018398,1,right,2
29,0.044881873,0.026303202,0.01857867,0,left,2
30,0.03467893,0.12680115,-0.09212222,1,right,2
31,0.21911022,0.09618275,0.12292747,0,left,2
32,0.06654744,0.21958697,-0.15303953,1,right,2
33,0.02879019,0.20192496,-0.17313477,1,right,2
34,0.05412644,0.07652899,-0.022402547,1,right,2
35,0.016889013,0.36001506,-0.34312606,1,right,2
36,0.053408913,0.1460969,-0.09268799,1,right,2
37,0.061950523,0.5030013,-0.44105074,1,right,2
38,0.04489151,0.06366294,-0.018771429,1,right,2
39,0.1511057,0.20604971,-0.05494401,1,right,2
40,0.14001386,0.7825414,-0.6425275,1,right,2
41,0.091026045,0.4956372,-0.40461117,1,right,2
42,0.03596831,0.16929641,-0.13332811,1,right,2
43,0.026156511,0.14104293,-0.11488642,1,right,2
44,0.025928175,0.12757501,-0.10164683,1,right,2
45,0.02550336,0.057836376,-0.032333016,1,right,2
46,0.04549799,0.14561766,-0.10011967,1,right,2
47,0.07824225,0.77361566,-0.6953734,1,right,2
48,0.30087283,1.5212886,-1.2204158,1,right,2
49,0.18022348,1.0032023,-0.82297885,1,right,2
50,0.044841435,0.13711546,-0.092274025,1,right,2
51,0.012466644,0.08444834,-0.07198169,1,right,2
52,0.04880438,0.026721142,0.022083238,0,left,2
53,0.25300375,1.1495507,-0.89654696,1,right,2
54,0.33084336,0.26238832,0.06845504,0,left,2
55,0.10841838,0.36903983,-0.26062146,1,right,2
56,0.025235703,0.111136556,-0.08590085,1,right,2
57,0.38640913,3.265399,-2.87899,1,right,2
58,0.124076985,0.46696472,-0.34288773,1,right,2
59,0.14797503,0.07999272,0.06798231,0,left,2
60,0.02152958,0.14284725,-0.12131768,1,right,2
