cue_mode,accuracy_mean,accuracy_sem,accuracy_n,valid_accuracy_mean,valid_accuracy_sem,valid_accuracy_n,invalid_accuracy_mean,invalid_accuracy_sem,invalid_accuracy_n,false_alarm_rate_mean,false_alarm_rate_sem,false_alarm_rate_n,lapse_rate_mean,lapse_rate_sem,lapse_rate_n,late_rate_mean,late_rate_sem,late_rate_n,dprime_mean,dprime_sem,dprime_n
flipped,0.8407199999999999,0.08141974207770496,5,0.8243480133474064,0.09065075262143664,5,0.9015502023250166,0.04750641907011261,5,0.04224,0.024239009880768644,5,0.047200000000000006,0.026812832748518013,5,0.01768,0.010454778811624854,5,3.498749602686921,0.7785457146539506,5
neutral,0.87072,0.06480523435649314,5,0.8709191397641163,0.0651264876016425,5,0.8697122702497604,0.06384286208380278,5,0.03704,0.021018315822158535,5,0.025840000000000002,0.012784115143411373,5,0.01832,0.010654876817683064,5,3.6865730117032656,0.7489957894295532,5
shuffled,0.8620800000000001,0.06936113032527656,5,0.862404450202779,0.06923486288297734,5,0.8607649728863574,0.06996248940784755,5,0.0432,0.024524926095709238,5,0.03168,0.016725262329781256,5,0.016239999999999997,0.0096511968169756,5,3.545983657274845,0.7490727023263373,5
true,0.88432,0.05700293325785963,5,0.9023893098845868,0.047113974070091796,5,0.8168703637045563,0.09410669471174701,5,0.042480000000000004,0.024462019540504008,5,0.01784,0.007975562676074962,5,0.013919999999999998,0.008163724640138224,5,3.64376196418703,0.7179368077815326,5
